licno,address,capacity,boro,bbl,factype,cd,zipcode,juris,longitude,latitude,TableDate
2001467-DCA,688 MAIN ST,710,Manhattan,1100000000.0,Garage,106.0,10044.0,NYCDCWP,-73.95420995,40.75619983,2022_08
2018213-DCA,106 MOTT ST,154,Manhattan,1002047501.0,Garage,102.0,10013.0,NYCDCWP,-73.9969554,40.717562799999996,2022_08
2019880-DCA,1326 SPOFFORD AVE,180,Bronx,2027660145.0,Garage,202.0,10474.0,NYCDCWP,-73.88494809999999,40.814274,2022_08
1007334-DCA,230 E 149TH ST,750,Bronx,2023350016.0,Garage,201.0,10451.0,NYCDCWP,-73.9244785,40.816757700000004,2022_08
2047444-DCA,1318 TAYLOR AVE,100,Bronx,2038780009.0,Parking Lot,209.0,10472.0,NYCDCWP,-73.8652582,40.8325984,2022_08
2068058-DCA,9015 QUEENS BLVD,1903,Queens,4018600100.0,Garage,404.0,11373.0,NYCDCWP,-73.87065240000001,40.7345653,2022_08
0973517-DCA,480 11TH ST,20,Brooklyn,3010240036.0,Garage,306.0,11215.0,NYCDCWP,-73.98323859999999,40.665627799999996,2022_08
0813280-DCA,515 E 72ND ST,130,Manhattan,1014847501.0,Garage,108.0,10021.0,NYCDCWP,-73.9526503,40.766857,2022_08
1330437-DCA,3270 BROADWAY,149,Manhattan,1019860030.0,Parking Lot,109.0,10027.0,NYCDCWP,-73.95600290000002,40.817814299999995,2022_08
2102863-DCA,410 SAINT NICHOLAS AVE,56,Manhattan,1019580001.0,Garage,110.0,10027.0,NYCDCWP,-73.9491704,40.8138289,2022_08
1230602-DCA,90 WEST ST,65,Manhattan,1000560004.0,Parking Lot,101.0,10006.0,NYCDCWP,-74.0142584,40.7099919,2022_08
2102761-DCA,235 E 45TH ST,90,Manhattan,1013190016.0,Garage,106.0,10017.0,NYCDCWP,-73.9713748,40.7522365,2022_08
2059576-DCA,551 W 21ST ST,53,Manhattan,1006937502.0,Garage,104.0,10011.0,NYCDCWP,-74.0073047,40.747579200000004,2022_08
2011687-DCA,2481 CROTONA AVE,45,Bronx,2030910087.0,Garage and Parking Lot,206.0,10458.0,NYCDCWP,-73.88276409999999,40.8563949,2022_08
2046303-DCA,100 WILLOUGHBY ST,167,Brooklyn,3001450022.0,Garage,302.0,11201.0,NYCDCWP,-73.98490165,40.69178848,2022_08
2019528-DCA,1601 SEDDON ST,150,Bronx,2039920032.0,Parking Lot,210.0,10461.0,NYCDCWP,-73.84890329999999,40.840326399999995,2022_08
1135103-DCA,480 2ND AVE,96,Manhattan,1009340001.0,Garage,106.0,10016.0,NYCDCWP,-73.9782398,40.7405865,2022_08
2006294-DCA,175 KENT AVE,140,Brooklyn,3023497501.0,Garage,301.0,11249.0,NYCDCWP,-73.96343509999998,40.7180264,2022_08
1135076-DCA,500 2ND AVE,169,Manhattan,1009340001.0,Garage,106.0,10016.0,NYCDCWP,-73.9782398,40.7405865,2022_08
2051058-DCA,4809 CENTER BLVD,527,Queens,4000180001.0,Garage and Parking Lot,402.0,11109.0,NYCDCWP,-73.9571016,40.7443436,2022_08
2102934-DCA,3306 88TH ST,89,Queens,4014350001.0,Garage,403.0,11372.0,NYCDCWP,-73.88020870000001,40.75582,2022_08
2054399-DCA,1260 WATERS PL,1344,Bronx,2042260040.0,Garage,211.0,10461.0,NYCDCWP,-73.83774240000001,40.8539333,2022_08
