TableDate,BoroName,Capacity
2006,Bronx,49998
2006,Brooklyn,31154
2006,Manhattan,169731
2006,Queens,47103
2006,SI,1772
2007,Bronx,51341
2007,Brooklyn,33419
2007,Manhattan,175409
2007,Queens,53926
2007,SI,2822
2008,Bronx,45181
2008,Brooklyn,30733
2008,Manhattan,164313
2008,Queens,38235
2008,SI,1545
2009,Bronx,55646
2009,Brooklyn,32301
2009,Manhattan,169570
2009,Queens,38989
2009,SI,1545
2010,Bronx,54345
2010,Brooklyn,29745
2010,Manhattan,166563
2010,Queens,44315
2010,SI,1568
2011,Bronx,43335
2011,Brooklyn,29805
2011,Manhattan,170298
2011,Queens,47964
2011,SI,1666
2012,Bronx,50437
2012,Brooklyn,28620
2012,Manhattan,164525
2012,Queens,43602
2012,SI,1666
2013,Bronx,53819
2013,Brooklyn,30160
2013,Manhattan,166001
2013,Queens,45632
2013,SI,1495
2014,Bronx,61449
2014,Brooklyn,34423
2014,Manhattan,167673
2014,Queens,47803
2014,SI,1643
2015,Bronx,63382
2015,Brooklyn,34279
2015,Manhattan,172492
2015,Queens,51843
2015,SI,1976
2016,Bronx,55924
2016,Brooklyn,33516
2016,Manhattan,156180
2016,Queens,46823
2016,SI,1962
2017,Bronx,57401
2017,Brooklyn,34496
2017,Manhattan,159239
2017,Queens,51317
2017,SI,2357
2018,Bronx,58384
2018,Brooklyn,29411
2018,Manhattan,149082
2018,Queens,50509
2018,SI,1808
2019,Bronx,57881
2019,Brooklyn,31868
2019,Manhattan,152918
2019,Queens,54694
2019,SI,1652
2020,Bronx,56525
2020,Brooklyn,31398
2020,Manhattan,150198
2020,Queens,50583
2020,SI,467
2021,Bronx,56598
2021,Brooklyn,32299
2021,Manhattan,146251
2021,Queens,48507
2021,SI,832
2022,Bronx,54128
2022,Brooklyn,31456
2022,Manhattan,139825
2022,Queens,53028
2022,SI,734
