name,group_name,group,value
USA,Countries,Countries,1.8
Portland,US Cities,US Cities,1.491
Seattle,US Cities,US Cities,1.39
Chicago,US Cities,US Cities,1.12
San Francisco,US Cities,US Cities,1.1
Philadelphia,US Cities,US Cities,1.05
Boston,US Cities,US Cities,0.94
Washington DC,US Cities,US Cities,0.86
New York City,US Cities,US Cities,0.63
Staten Island,NYC Boros,NYC Boros,1.49
Queens,NYC Boros,NYC Boros,0.92
Brooklyn,NYC Boros,NYC Boros,0.57
Bronx,NYC Boros,NYC Boros,0.55
Manhattan,NYC Boros,NYC Boros,0.26
