date,LIRR_2020,LIRR_2019
4/1/20,10500,350000
4/2/20,10100,336667
4/3/20,9700,323333
4/4/20,3700,123333
4/5/20,3000,100000
4/6/20,10100,336667
4/7/20,9300,310000
4/8/20,9000,300000
4/9/20,8400,280000
4/10/20,8200,273333
4/11/20,2700,135000
4/12/20,2200,110000
4/13/20,8200,273333
4/14/20,8800,293333
4/15/20,8600,286667
4/16/20,8500,283333
4/17/20,8300,276667
4/18/20,2400,120000
4/19/20,2200,110000
4/20/20,8900,296667
4/21/20,8300,276667
4/22/20,8700,290000
4/23/20,8400,280000
4/24/20,7800,260000
4/25/20,2900,96667
4/26/20,1900,95000
4/27/20,8800,293333
4/28/20,9200,306667
4/29/20,9100,303333
4/30/20,9300,310000
5/1/20,6200,310000
5/2/20,4000,133333
5/3/20,3300,110000
5/4/20,11200,373333
5/5/20,13300,332500
5/6/20,14500,290000
5/7/20,16100,322000
5/8/20,15700,314000
5/9/20,7700,128333
5/10/20,8000,100000
5/11/20,18300,305000
5/12/20,19000,316667
5/13/20,19400,323333
5/14/20,19300,321667
5/15/20,20100,335000
5/16/20,11100,123333
5/17/20,8800,97778
5/18/20,22100,315714
5/19/20,21600,308571
5/20/20,22200,317143
5/21/20,22600,322857
5/22/20,22800,325714
5/23/20,11000,122222
5/24/20,11900,99167
5/25/20,19300,321667
5/26/20,26700,333750
5/27/20,26500,331250
5/28/20,25200,315000
5/29/20,25100,313750
5/30/20,15600,120000
5/31/20,13600,97143
6/1/20,34300,343000
6/2/20,33800,338000
6/3/20,32500,325000
6/4/20,29800,331111
6/5/20,33500,335000
6/6/20,18100,120667
6/7/20,16800,98824
6/8/20,42600,327692
6/9/20,42300,325385
6/10/20,43100,331538
6/11/20,40900,340833
6/12/20,45100,322143
6/13/20,25400,120952
6/14/20,20900,99524
6/15/20,47500,339286
6/16/20,46900,335000
6/17/20,47200,337143
6/18/20,47800,341429
6/19/20,50200,334667
6/20/20,29000,120833
6/21/20,27100,96786
6/22/20,53900,336875
6/23/20,52900,330625
6/24/20,52400,327500
6/25/20,53400,333750
6/26/20,55600,327059
6/27/20,26800,121818
6/28/20,25700,98846
6/29/20,63300,333158
6/30/20,58000,341176
7/1/20,56500,313889
7/2/20,64200,321000
7/3/20,56200,312222
7/4/20,38400,128000
7/5/20,34600,104848
7/6/20,63900,319500
7/7/20,61800,309000
7/8/20,63000,315000
7/9/20,65400,311429
7/10/20,55900,310556
7/11/20,30100,125417
7/12/20,34900,105758
7/13/20,66400,316190
7/14/20,66300,315714
7/15/20,66600,317143
7/16/20,66700,317619
7/17/20,64800,324000
7/18/20,41200,128750
7/19/20,36400,104000
7/20/20,67700,322381
7/21/20,67600,321905
7/22/20,65300,310952
7/23/20,65600,312381
7/24/20,65900,313810
7/25/20,43300,127353
7/26/20,36200,103429
7/27/20,70100,318636
7/28/20,66700,317619
7/29/20,70000,318182
7/30/20,68900,313182
7/31/20,67600,321905
8/1/20,44400,134545
8/2/20,30500,105172
8/3/20,70800,307826
8/4/20,36800,306667
8/5/20,58000,305263
8/6/20,66600,317143
8/7/20,66000,314286
8/8/20,41700,134516
8/9/20,37600,104444
8/10/20,73500,306250
8/11/20,72400,314783
8/12/20,68300,310455
8/13/20,69200,314545
8/14/20,72900,316957
8/15/20,46800,133714
8/16/20,29900,103103
8/17/20,74500,310417
8/18/20,74200,309167
8/19/20,70100,318636
8/20/20,75600,315000
8/21/20,76100,317083
8/22/20,49100,132703
8/23/20,37900,105278
8/24/20,75100,312917
8/25/20,73300,318696
8/26/20,76600,319167
8/27/20,73000,317391
8/28/20,76100,317083
8/29/20,37600,134286
8/30/20,45100,104884
8/31/20,78100,312400
9/1/20,76500,332609
9/2/20,77600,323333
9/3/20,82500,330000
9/4/20,88300,327037
9/5/20,50600,117674
9/6/20,44700,99333
9/7/20,80100,333750
9/8/20,90600,323571
9/9/20,86100,331154
9/10/20,82100,328400
9/11/20,88600,328148
9/12/20,44500,117105
9/13/20,36700,99189
9/14/20,89500,331481
9/15/20,87000,322222
9/16/20,87000,322222
9/17/20,86800,321481
9/18/20,90700,323929
9/19/20,46800,117000
9/20/20,39000,100000
9/21/20,89700,332222
9/22/20,87400,323704
9/23/20,89000,329630
9/24/20,89100,330000
9/25/20,92500,330357
9/26/20,47200,118000
9/27/20,40000,100000
9/28/20,89700,332222
9/29/20,88400,327407
9/30/20,89200,330370
10/1/20,86000,318519
10/2/20,87300,311786
10/3/20,45000,112500
10/4/20,35000,92105
10/5/20,88700,316786
10/6/20,87700,313214
10/7/20,87100,311071
10/8/20,88000,314286
10/9/20,78700,314800
10/10/20,44500,114103
10/11/20,34600,91053
10/12/20,76800,320000
10/13/20,76600,319167
10/14/20,89200,318571
10/15/20,90300,311379
10/16/20,83800,310370
10/17/20,43800,112308
10/18/20,34700,91316
10/19/20,89200,318571
10/20/20,86600,309286
10/21/20,86200,319259
10/22/20,88700,316786
10/23/20,89900,310000
10/24/20,43600,114737
10/25/20,33700,91081
10/26/20,86700,309643
10/27/20,87400,312143
10/28/20,86700,309643
10/29/20,81800,314615
10/30/20,84300,312222
10/31/20,41500,112162
11/1/20,29500,95161
11/2/20,87200,322963
11/3/20,82100,328400
11/4/20,81600,326400
11/5/20,87000,334615
11/6/20,89500,331481
11/7/20,46400,116000
11/8/20,38500,93902
11/9/20,91700,327500
11/10/20,91500,326786
11/11/20,83300,333200
11/12/20,86200,331538
11/13/20,86300,331923
11/14/20,41400,115000
11/15/20,30900,93636
11/16/20,89500,331481
11/17/20,87000,334615
11/18/20,84100,323462
11/19/20,84700,325769
11/20/20,87400,323704
11/21/20,39200,115294
11/22/20,31000,93939
11/23/20,87700,324815
11/24/20,89800,332593
11/25/20,93400,333571
11/26/20,72600,330000
11/27/20,77300,322083
11/28/20,37800,114545
11/29/20,32600,93143
11/30/20,80000,333333
12/1/20,73600,320000
12/2/20,73600,320000
12/3/20,75100,312917
12/4/20,72100,313478
12/5/20,33500,128846
12/6/20,35100,106364
12/7/20,77800,311200
12/8/20,75000,312500
12/9/20,74700,311250
12/10/20,76800,320000
12/11/20,79700,318800
12/12/20,41800,126667
12/13/20,39300,106216
12/14/20,75000,312500
12/15/20,78400,313600
12/16/20,68100,309545
12/17/20,21400,305714
12/18/20,74900,312083
12/19/20,41100,128438
12/20/20,32600,105161
12/21/20,81200,312308
12/22/20,82000,315385
12/23/20,84400,312593
12/24/20,75800,315833
12/25/20,51300,320625
12/26/20,36000,128571
12/27/20,34400,107500
12/28/20,81600,313846
12/29/20,78900,315600
12/30/20,79300,317200
12/31/20,75200,313333
1/1/21,29000,290000
1/2/21,28900,96333
1/3/21,20800,83200
1/4/21,71100,296250
1/5/21,70400,306087
1/6/21,70300,305652
1/7/21,69700,303043
1/8/21,68600,298261
1/9/21,27000,96429
1/10/21,23800,82069
1/11/21,72300,301250
1/12/21,71400,297500
1/13/21,70600,306957
1/14/21,70900,308261
1/15/21,70200,305217
1/16/21,27100,96786
1/17/21,24200,83448
1/18/21,68700,298696
1/19/21,72600,302500
1/20/21,67900,308636
1/21/21,71200,296667
1/22/21,71300,297083
1/23/21,27900,96207
1/24/21,24000,82759
1/25/21,73100,304583
1/26/21,68200,296522
1/27/21,70400,306087
1/28/21,70000,304348
1/29/21,65100,295909
1/30/21,26600,98519
1/31/21,23100,82500
2/1/21,8600,286667
2/2/21,22800,285000
