date,Subway,Bus
1/31/21,608333,394303
1/30/21,792125,535662
1/29/21,1323004,772992
1/28/21,1651965,954407
1/27/21,1665343,1008335
1/26/21,1555551,921880
1/25/21,1596876,977085
1/24/21,741773,463295
1/23/21,998764,626548
1/22/21,1675466,1016764
1/21/21,1657752,1009600
1/20/21,1578009,920994
1/19/21,1639237,1013515
1/18/21,1279119,766927
1/17/21,798564,504031
1/16/21,992599,645625
1/15/21,1630098,981816
1/14/21,1650630,1017757
1/13/21,1644812,996646
1/12/21,1643725,997279
1/11/21,1571330,966518
1/10/21,763690,501436
1/9/21,991218,643475
1/8/21,1622259,982175
1/7/21,1614248,989096
1/6/21,1616889,996123
1/5/21,1600910,990479
1/4/21,1561237,964597
1/3/21,653915,413820
1/2/21,989612,608687
1/1/21,614497,378288
12/31/20,1277146,780869
12/30/20,1585476,935139
12/29/20,1558295,918291
12/28/20,1513195,902574
12/27/20,761251,469973
12/26/20,880184,555857
12/25/20,485839,312707
12/24/20,1314656,813353
12/23/20,1775738,1033609
12/22/20,1764202,1031789
12/21/20,1719279,1011638
12/20/20,822001,516601
12/19/20,1112852,669751
12/18/20,1738727,938457
12/17/20,1081431,525801
12/16/20,1571978,854246
12/15/20,1786741,1076717
12/14/20,1587068,950309
12/13/20,911519,579526
12/12/20,1091372,704357
12/11/20,1789568,1053575
12/10/20,1764682,1066582
12/9/20,1705159,1017090
12/8/20,1544078,1029646
12/7/20,1659836,1018044
12/6/20,879278,545433
12/5/20,1001236,619734
12/4/20,1704749,1012813
12/3/20,1739370,1056963
12/2/20,1703245,1018368
12/1/20,1709780,1051162
11/30/20,1462166,819615
11/29/20,827800,545820
11/28/20,1034026,684961
11/27/20,1265519,812187
11/26/20,653123,443386
11/25/20,1691393,1032400
11/24/20,1739107,1064087
11/23/20,1649748,1002977
11/22/20,818055,543514
11/21/20,1157976,750818
11/20/20,1803896,1073125
11/19/20,1761064,1058467
11/18/20,1791183,1072627
11/17/20,1792431,1094353
11/16/20,1745282,1051458
11/15/20,821555,524515
11/14/20,1215491,755714
11/13/20,1820025,1061880
11/12/20,1780212,1058761
11/11/20,1617862,968853
11/10/20,1840750,1146091
11/9/20,1756175,1099362
11/8/20,928516,584868
11/7/20,1246356,749502
11/6/20,1840860,1114000
11/5/20,1797589,1125820
11/4/20,1693937,1083036
11/3/20,1606096,1017551
11/2/20,1751443,1064298
11/1/20,786678,510667
10/31/20,1174079,724128
10/30/20,1771288,1004498
10/29/20,1708611,974120
10/28/20,1823028,1109591
10/27/20,1818884,1138746
10/26/20,1694080,1058119
10/25/20,885001,576930
10/24/20,1185612,780710
10/23/20,1846268,1128035
10/22/20,1829135,1146065
10/21/20,1816797,1147374
10/20/20,1784090,1127896
10/19/20,1722723,1104657
10/18/20,897886,585376
10/17/20,1211061,780003
10/16/20,1674686,986167
10/15/20,1857822,1154164
10/14/20,1842638,1161893
10/13/20,1718853,1067179
10/12/20,1286892,770512
10/11/20,849518,564047
10/10/20,1171657,770914
10/9/20,1811779,1114870
10/8/20,1801918,1128062
10/7/20,1774408,1124542
10/6/20,1762320,1133242
10/5/20,1682379,1092193
10/4/20,853591,566754
10/3/20,1168073,773305
10/2/20,1794201,1109459
10/1/20,1813961,1150563
9/30/20,1744524,1077000
9/29/20,1664896,1023100
9/28/20,1492611,955300
9/27/20,846184,586900
9/26/20,1120175,756300
9/25/20,1765299,1077600
9/24/20,1726180,1070500
9/23/20,1739043,1093600
9/22/20,1702325,1061900
9/21/20,1627636,1021200
9/20/20,828365,585500
9/19/20,1137948,761600
9/18/20,1728810,1074200
9/17/20,1695985,1060400
9/16/20,1690405,1075300
9/15/20,1681774,1087600
9/14/20,1607896,1044500
9/13/20,796744,577400
9/12/20,1083727,759700
9/11/20,1693776,1072600
9/10/20,1547065,989000
9/9/20,1613662,1081700
9/8/20,1559312,1032900
9/7/20,872174,650300
9/6/20,819600,580400
9/5/20,1013746,740100
9/4/20,1571533,1034500
9/3/20,1532512,1030700
9/2/20,1491161,994000
9/1/20,1472491,996600
8/31/20,1400448,987400
8/30/20,748886,822300
8/29/20,774465,892800
8/28/20,1391299,1333400
8/27/20,1361128,1274100
8/26/20,1410651,1361400
8/25/20,1349335,1273400
8/24/20,1310101,1270700
8/23/20,672193,783200
8/22/20,883393,998700
8/21/20,1390232,1335800
8/20/20,1413449,1352700
8/19/20,1294931,1212800
8/18/20,1372568,1307400
8/17/20,1307543,1275000
8/16/20,554980,622000
8/15/20,861763,1001000
8/14/20,1358798,1321800
8/13/20,1294248,1198800
8/12/20,1302087,1227500
8/11/20,1322978,1256400
8/10/20,1278263,1243700
8/9/20,663642,766700
8/8/20,834093,962000
8/7/20,1286635,1256300
8/6/20,1337819,1241800
8/5/20,1351026,1305000
8/4/20,1028686,968100
8/3/20,1275951,1268300
8/2/20,590675,707000
8/1/20,843372,969300
7/31/20,1260968,1220700
7/30/20,1272918,1224100
7/29/20,1298880,1273100
7/28/20,1244405,1210600
7/27/20,1206129,1185000
7/26/20,607452,721100
7/25/20,817403,967300
7/24/20,1220649,1134300
7/23/20,1236427,1180200
7/22/20,1236384,1189100
7/21/20,1244544,1204300
7/20/20,1159163,1130400
7/19/20,585498,692800
7/18/20,779722,913700
7/17/20,1209692,1176200
7/16/20,1251884,1211800
7/15/20,1251164,1229000
7/14/20,1243749,1211300
7/13/20,1178204,1144100
7/12/20,628918,727700
7/11/20,693789,852600
7/10/20,1032749,926800
7/9/20,1213851,1195700
7/8/20,1174733,1114900
7/7/20,1159588,1118800
7/6/20,1087178,1030200
7/5/20,534220,658700
7/4/20,592295,754900
7/3/20,847811,968200
7/2/20,1172248,1178500
7/1/20,1122842,1102200
6/30/20,1115510,1082000
6/29/20,1103086,1087500
6/28/20,536488,641800
6/27/20,616084,753900
6/26/20,1104497,1130100
6/25/20,1081006,1088500
6/24/20,1070527,1099900
6/23/20,1053005,1086200
6/22/20,1002073,1016200
6/21/20,449497,592400
6/20/20,576097,768500
6/19/20,988680,1035300
6/18/20,944318,977700
6/17/20,950318,977200
6/16/20,934545,961000
6/15/20,898925,940900
6/14/20,430446,571200
6/13/20,545333,706800
6/12/20,898314,966300
6/11/20,819873,830100
6/10/20,858782,914700
6/9/20,843968,916900
6/8/20,806138,863400
6/7/20,378085,531900
6/6/20,464207,648000
6/5/20,704825,772900
6/4/20,728018,797700
6/3/20,683037,741200
6/2/20,695276,724400
6/1/20,688520,764300
5/31/20,344428,468300
5/30/20,426755,622000
5/29/20,658353,720800
5/28/20,659248,710800
5/27/20,675705,719200
5/26/20,657939,709000
5/25/20,394359,531600
5/24/20,320376,461200
5/23/20,336250,460700
5/22/20,634929,690200
5/21/20,630367,655300
5/20/20,624793,654800
5/19/20,611951,643600
5/18/20,596505,624200
5/17/20,287755,413500
5/16/20,361329,530600
5/15/20,588784,671500
5/14/20,568315,616000
5/13/20,566333,611300
5/12/20,554286,594900
5/11/20,521702,553300
5/10/20,272353,386000
5/9/20,317372,462400
5/8/20,526865,573700
5/7/20,536003,605600
5/6/20,509646,538800
5/5/20,522979,583400
5/4/20,512763,578300
5/3/20,259199,375900
5/2/20,326354,478600
5/1/20,495312,555300
4/30/20,466633,488800
4/29/20,478589,519600
4/28/20,490073,555600
4/27/20,463700,518400
4/26/20,219096,293500
4/25/20,295836,430800
4/24/20,444644,475400
4/23/20,454300,487300
4/22/20,459574,518900
4/21/20,422860,450900
4/20/20,438622,498700
4/19/20,224751,318100
4/18/20,254792,352000
4/17/20,433106,470300
4/16/20,421013,447000
4/15/20,419851,454100
4/14/20,430946,470900
4/13/20,363961,347800
4/12/20,198693,279100
4/11/20,257467,378200
4/10/20,400947,414100
4/9/20,405325,401900
4/8/20,428206,431700
4/7/20,435718,441000
4/6/20,446273,454900
4/5/20,227603,299600
4/4/20,282703,383400
4/3/20,484200,483800
4/2/20,486468,472700
4/1/20,514201,495400
3/31/20,509149,514300
3/30/20,546355,563900
3/29/20,264119,306800
3/28/20,332993,403700
3/27/20,658312,641800
3/26/20,681923,646100
3/25/20,691604,618000
3/24/20,743314,657800
3/23/20,711138,578200
3/22/20,409364,378900
3/21/20,620662,564900
3/20/20,1312249,868600
3/19/20,1425564,933600
3/18/20,1629413,1059500
3/17/20,1793359,1094900
3/16/20,2184296,1237300
3/15/20,1159079,711600
3/14/20,1672800,993300
3/13/20,3496765,1715700
3/12/20,4163674,1938400
3/11/20,4712462,2113000
3/10/20,4883623,2112000
3/9/20,4989635,2124800
3/8/20,2122328,957200
3/7/20,2817082,1249100
3/6/20,5204732,2066700
3/5/20,5513656,2244500
3/4/20,5515945,2177200
3/3/20,5498556,2228600
3/2/20,5347055,2209100
3/1/20,2214601,984900
